Número,Daños,Descripción,Fecha,Monto
1,3 Bolardos,"Retiro de Bolardo, demolición",2021-03-01,8699.13
2,Poste de Alumbrado Público,Raspaduras,2021-03-04,6411.22
3,Poste de Alumbrado Público,Poste cónico percha 9 mts.,2021-03-03,20369.5
4,Poste de Alumbrado Público,Poste cónico percha 9 mts.,2021-03-01,13548.7
5,Guarnición,Demolición de banqueta,2021-03-26,23528.41
6,Semáforo de 3 luces,Derribado,2021-03-26,19564
7,Camellón central,Demoición de banqueta,2021-03-26,1652.86
,,,,
,,,,
,,,,
,,,,
