Número,Daños,Descripción,Fecha,Monto
1,Vehículo oficial ,Abolladura,2021-09-29,15000
2,Radio,Deterioro,2021-09-09,3895.5
3,Chaleco,Deteriorado,2021-09-21,4500
4,Sistema para red de baja tensión,Dañada,2021-09-24,13510.49
5,Señalamiento vertical,Derribado,2021-09-29,6571.01
6,Guarnición,Demolición,2021-09-29,11835.69
7,Arma,"Dañada , robada",2021-09-30,2000
,,,,
,,,,
,,,,
