Número,Daños,Descripción,Fecha,Monto
1,Guarnición,Derribada,2021-01-08,3306
2,Luminaria,Derribada,2021-01-12,17476.75
3,Arbusto,Derribado en su totalidad,2021-01-13,1737.6
4,Camellóm central,Derribado,2021-01-20,2858.57
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
