Número,Daños,Descripción,Fecha,Monto
1,Guarnición y carpeta asfáltica,Demolición,25/05/2021," $6,688.91 "
2,Señalética,Ralladuras en pintura,14/05/2021," $2,319.81 "
3,Camara de video vigilancia,Derribada,25/05/2021," $70,528.00 "
4,Daños a radio portátil,Robado,31/05/2021," $6,493.00 "
5,Poste de alumbrado público,Ralladura en su base,13/05/2021," $12,592.69 "
6,Radio de comunicación,Robado,17/05/2021," $4,869.50 "
7,Árbol,Derribado,11/05/2021," $4,481.00 "
8,Guarda peatones,Demolición,26/05/2021," $12,826.58 "
9,2 bolardos,Derribados,04/05/2021," $6,855.79 "
10,Árbol ,Derribado,28/05/2021," $4,032.90 "
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
