Número,Daños,Descripción,Fecha,Monto
1,Guarda peatón ,Retiro de Bolardo,2021-02-10,2899.71
2,Lámpara,"1 Poste cónico percha, derribado",2021-02-11,27774.94
3,Lámpara,"1 Poste cónico percha, derribado",2021-02-17,27774.94
4,Guarnición,Demolición,2021-02-17,3305.71
5,Lámpara,"1 Poste cónico percha, derribado",2021-02-10,27774.94
6,Guarda peatón de metal,Retiro de Bolardo,2021-02-03,4400.44
7,Árbol,Derribado,2021-02-12,4481
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
