fecha,danos,problema_principal,descripcion,monto
2021-05-25,Camara de video vigilancia,Derribado,Derribada,70528
2021-05-31,Daños a radio portátil,Robado,Robado,6493
2021-05-13,Poste de alumbrado público,Rayado,Ralladura en su base,12592.69
2021-05-17,Radio de comunicación,Robado,Robado,4869.5
2021-05-11,Árbol,Derribado,Derribado,4481
2021-05-26,Guarda peatones,Demolido,Demolición,12826.58
2021-05-04,2 bolardos,Derribado,Derribados,6855.79
2021-05-28,Árbol,Derribado,Derribado,4032.9
2021-11-10,Guarnición 2 metros,Demolido,Demolición,8876.77
2021-11-03,Poste Cónico Tipo percha,Derribado,Derribado,33835.94
2021-11-23,Guarnición Banquetas,Demolido,Demolición,1340.22
2021-11-03,Luminaria Poste,Derribado,Derribado,32849.159999999996
2021-11-23,Banderola de Nomenclatura de Calle,Derribado,Derribado,2268.38
2021-11-16,Señalamiento Vertical y Postes de 2x2,Derribado,Derribado,2319.8100000000004
2021-11-04,Luminaria,Dañado,Dañada en su base,7314.8
2021-11-30,Guarnición,Demolido,Demolición,1888.98
2021-11-30,Poste Cónico de 3.5 Metros,Derribado,Derribado,11009.11
2021-11-22,5 Bolardos de Metal,Demolido,Demolición,22175.629999999997
2021-11-16,Árbol,Derribado,Derribado,8688
2021-11-22,2 Guardapeatones de Fierro,Derribado,Derribados,7715.25
2021-11-23,Poste de 11 Metros y componentes,Derribado,Derribado,28800.22
2021-11-22,Poste de Luminaria Cónico circular 8 metros de altura,Derribado,Derribado,23708.66
2021-11-30,Semáforo,Derribado,Derribado,49120.96
2021-11-25,Luminaria,Derribado,Derribada,25709
2021-11-29,Guarnición y Guardapeaton,Derribado,Derribado,3857.63
2021-10-01,Fantasmas metálicos negros con reflejante amarillo,Derribado,Derribado,6855.79
2021-10-01,Bolardos y concreto hidráulico,Derribado,Derribado,7333.39
2021-10-05,Banderola,Dañado,Daño a los componentes de un poste de 9 metros,2853.4100000000003
2021-10-28,Lámpara de Alumbrado Público,Dañado,Daño a los componentes de un poste de 9 metros,19181.95
2021-10-29,Lámpara de Alumbrado Público,Dañado,Daño a los componentes de un poste de 9 metros,7314.8
2021-09-29,Vehículo oficial,Abollado,Abolladura,15000
2021-09-09,Radio,Deteriorado,Deterioro,3895.5
2021-09-21,Chaleco,Deteriorado,Deteriorado,4500
2021-09-24,Sistema para red de baja tensión,Dañado,Dañada,13510.49
2021-09-29,Señalamiento vertical,Derribado,Derribado,6571.01
2021-09-29,Guarnición,Demolido,Demolición,11835.69
2021-09-30,Arma,Dañado,"Dañada , robada",2000
2022-04-07,Cesto de Basura,Deteriorado,Deteriorado,2248
2022-04-04,Poste Metálico,Derribado,Derribado,26678.17
2022-04-01,Banderola,Derribado,Derribado,2319.8100000000004
2022-04-08,Bolardo,Derribado,Derribado,3315.7799999999997
2022-04-08,Luminaria,Derribado,Derribada,14838.7
2022-04-11,Luminaria,Derribado,Derribada,21218.85
2022-04-26,Semáforo,Deteriorado,Deteriorado en su base,8973.369999999999
2022-04-22,Semáforo,Derribado,Derribado,18705.2
2022-04-27,Guarnición,Dañado,Dañado en su estructura,1199.76
2022-04-22,Semáforo Led,Derribado,Derribado,25813.67
2022-04-18,Árbol,Derribado,Derribado,4811
2022-04-20,Poste de Alumbrado Público,Derribado,Derribado,25527.27
2022-04-21,Control de Semaforos,Deteriorado,Deteriorado,7826.72
2022-04-22,Guarnición y Árbol,Derribado,Derribados,4811
2022-04-22,Poste de Alumbrado Público,Derribado,Derribado,33457.659999999996
2022-04-26,Poste de Alumbrado Público,Derribado,Derribado,27109.829999999998
2022-01-26,Guarnición,Demolido,Demolición de Guarnición,1760.43
2022-01-13,Poste de 9 Metros y 2 Lámparas,Derribado,Derribadas,29445.87
2022-01-31,2 Cabezales de Luminaria,Derribado,Derribados,19498.06
2022-01-14,Estructura Metálica,Demolido,Demolición de Banqueta,15930.27
2022-01-31,Guarnición,Demolido,Demolición de Guarnición,4282.08
2022-01-31,Señalamiento,Derribado,Derribado,2200
2022-01-20,Guarnición de 3 metros,Demolido,Demolición de Guarnición,935.56
2022-01-05,Muro de Contención,Demolido,Demolición de Concreto,3809.65
2022-01-27,Luminaria,Derribado,Derribada,29380.1
2022-01-07,Poste de Metal,Rayado,Rayaduras de pintura,300
2022-01-03,Guarnición y Banqueta,Demolido,Demolición de Concreto,3006.04
2022-01-24,Poste de 9 Metros,Derribado,Derribada,26079.73
2022-01-14,Barra Metálica de Camellón Central,Derribado,Derribada,8729.61
2022-01-13,Luminaria,Desprendido,Desprendimiento de Cables,3907.03
2022-02-02,Árbol,Derribado,Derribado,7697.6
2022-02-22,Luminaria,Derribado,Derribado,26450.59
2022-02-22,Semáforo de 3 Luces Led´s de 30 centímetros,Derribado,Derribado,48511.7
